Rk,Squad,Pts,Top Team Scorer
1,Manchester City,93,Kevin De Bruyne - 15
2,Liverpool,92,Mohamed Salah - 23
3,Chelsea,74,Mason Mount - 11
4,Tottenham,71,Son Heung-min - 23
5,Arsenal,69,Bukayo Saka - 11
6,Manchester Utd,58,Cristiano Ronaldo - 18
7,West Ham,56,Jarrod Bowen - 12
8,Leicester City,52,Jamie Vardy - 15
9,Brighton,51,Leandro Trossard Neal Maupay - 8
10,Wolves,51,Raúl Jiménez - 6
11,Newcastle Utd,49,Callum Wilson - 8
12,Crystal Palace,48,Wilfried Zaha - 14
13,Brentford,46,Ivan Toney - 12
14,Aston Villa,45,Ollie Watkins - 11
15,Southampton,40,James Ward-Prowse - 10
16,Everton,39,Richarlison - 10
17,Leeds United,38,Raphael Dias Belloli - 11
18,Burnley,35,Maxwel Cornet - 9
19,Watford,23,Emmanuel Dennis - 10
20,Norwich City,22,Teemu Pukki - 11